===== CommonEvents.rxdata =====  (Array 111 项, index 0 为 nil 占位)
   0| Show Picture           | 1 | instruction3 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 1 | 30 | 0 | 0 | 0 | 0 | 200 | 200 | 255 | 0
   0| Wait                   | 30
   0| Play BGM               | (silent)
   0| Loop                   |
   1| Batch Text             | 22
   1| Conditional Branch     | 1 | 22 | 0 | 0 | 5
   2| Break Loop             |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Loop End               |
   0| Move Picture           | 1 | 30 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 30
   0| Play ME                |
   0| (code 0)               |

[CommonEvent 15] Instructions
  trigger=1 switch_id=40
   0| Fade SE                |
   0| Play BGS               | instruction1 (vol=100, pitch=100)
   0| Show Picture           | 1 | instruction1 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   0| Move Picture           | 1 | 15 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   0| Wait                   | 15
   0| Play BGM               | (silent)
   0| Loop                   |
   1| Batch Text             | 22
   1| Conditional Branch     | 1 | 22 | 0 | 0 | 5
   2| Break Loop             |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Loop End               |
   0| Move Picture           | 1 | 15 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   0| Wait                   | 15
   0| Play BGS               | instruction2 (vol=100, pitch=100)
   0| Show Picture           | 1 | instruction2 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 1 | 15 | 0 | 0 | 0 | 0 | 200 | 200 | 255 | 0
   0| Wait                   | 15
   0| Loop                   |
   1| Batch Text             | 22
   1| Conditional Branch     | 1 | 22 | 0 | 0 | 5
   2| Break Loop             |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Loop End               |
   0| Move Picture           | 1 | 15 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 15
   0| Play BGS               | instruction1 (vol=100, pitch=120)
   0| Show Picture           | 1 | instruction4 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 1 | 15 | 0 | 0 | 0 | 0 | 200 | 200 | 255 | 0
   0| Wait                   | 15
   0| Play BGM               | (silent)
   0| Loop                   |
   1| Batch Text             | 22
   1| Conditional Branch     | 1 | 22 | 0 | 0 | 5
   2| Break Loop             |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Loop End               |
   0| Move Picture           | 1 | 15 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 15
   0| Play ME                |
   0| Control Switches       | 40 | 40 | 1
   0| (code 0)               |

[CommonEvent 16] Red Film
  trigger=0 switch_id=1
   0| Control Variables      | 1 | 1 | 0 | 0 | 0
   0| Call Script            | $scene = Scene_Map.new
   0| Conditional Branch     | 0 | 43 | 0
   1| Conditional Branch     | 12 | $console
   2| Call Script            | Graphics.fullscreen = false
   2| Wait                   | 10
   2| Show Picture           | 1 | numbersheet_code | 0 | 0 | 0 | 0 | 200 | 200 | 255 | 0
   2| (code 0)               |
   1| Conditional Else       |
   2| Show Picture           | 1 | numbersheet_code | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   2| Move Picture           | 1 | 30 | 0 | 0 | 0 | 0 | 200 | 200 | 255 | 0
   2| Wait                   | 30
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional Else       |
   1| Conditional Branch     | 12 | $console
   2| Call Script            | Graphics.fullscreen = false
   2| (code 655)             | film_puzzle_begin
   2| Wait                   | 10
   2| Show Picture           | 2 | numbersheet | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   2| Show Picture           | 1 | numbersheet_code | 0 | 0 | 0 | 0 | 200 | 200 | 255 | 0
   2| Scroll Picture         | 2
   2| (code 0)               |
   1| Conditional Else       |
   2| Show Picture           | 2 | numbersheet | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   2| Move Picture           | 2 | 30 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   2| Wait                   | 30
   2| Show Picture           | 1 | numbersheet_code | 0 | 0 | 0 | 0 | 200 | 200 | 255 | 0
   2| Call Script            | film_puzzle_begin
   2| Scroll Picture         | 2
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| Loop                   |
   1| Call Script            | Interpreter.take_a_chill_pill
   1| Conditional Branch     | 0 | 43 | 1
   2| Conditional Branch     | 12 | Oneshot.obscured_cleared?
   3| Call Script            | film_puzzle_end
   3| Play SE                | pc_logon (vol=100, pitch=150)
   3| (code 224)             | #<Color:0x0000022e236ddeb0 @red=255.0, @green=255.0, @blue=255.0, @alpha=255.0> | 10
   3| Control Switches       | 43 | 43 | 0
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| Conditional Branch     | 12 | button_pressed?
   2| Break Loop             |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Loop End               |
   0| Conditional Branch     | 12 | $console
   1| Call Script            | Graphics.fullscreen = true
   1| Scroll Picture         | 1
   1| Conditional Branch     | 0 | 43 | 1
   2| Call Script            | film_puzzle_end
   2| (code 0)               |
   1| Conditional End        |
   1| Wait                   | 10
   1| (code 0)               |
   0| Conditional Else       |
   1| Conditional Branch     | 0 | 43 | 0
   2| Move Picture           | 1 | 30 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   2| (code 0)               |
   1| Conditional Else       |
   2| Show Picture           | 1 | numbersheet | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   2| Call Script            | film_puzzle_end
   2| Move Picture           | 1 | 30 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   2| (code 0)               |
   1| Conditional End        |
   1| Wait                   | 30
   1| Scroll Picture         | 1
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 17] Cannot Breathe
  trigger=0 switch_id=1
   0| Conditional Branch     | 0 | 45 | 1
   1| Conditional Branch     | 0 | 20 | 0
   2| Show Text              | @niko_speak \p, there's something in the air here...
   2| Show Text              | @niko_eyeclosed It hurts to breathe...
   2| (code 0)               |
   1| Conditional Else       |
   2| Show Text              | @ed [The air here is unbreathable.]
   2| (code 0)               |
   1| Conditional End        |
   1| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e236cea78 @list=[#<RPG::MoveCommand:0x0000022e236ce938 @parameters=[], @code=1>, #<RPG::MoveCommand:0x0000022e236ce7d0 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e236ce938 @parameters=[], @code=1>
   1| Wait for Move          |
   1| (code 0)               |
   0| Conditional Else       |
   1| Conditional Branch     | 0 | 54 | 1
   2| Show Text              | @niko_gasmask I should be fine with this mask on.
   2| Control Switches       | 54 | 54 | 0
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 18] Restart game
  trigger=0 switch_id=1
   0| Show Text              | Start over?
   0| Show Choices           | Yes, No | 2
   0| Choices Branch         | 0 | Yes
   1| Call Script            | $game_temp.to_title = true
   1| (code 0)               |
   0| Choices Branch         | 1 | No
   1| (code 0)               |
   0| Choices End            |
   0| (code 0)               |

[CommonEvent 19] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 20] Cat Noise
  trigger=0 switch_id=1
   0| Call Common Event      | 21
   0| Wait                   | 40
   0| (code 0)               |

[CommonEvent 21] Cat Noise (NoPause)
  trigger=0 switch_id=1
   0| Control Variables      | 22 | 22 | 0 | 2 | 1 | 4
   0| Conditional Branch     | 1 | 22 | 0 | 1 | 0
   1| Play SE                | cat_1 (vol=100, pitch=90)
   1| (code 0)               |
   0| Conditional Else       |
   1| Conditional Branch     | 1 | 22 | 0 | 2 | 0
   2| Play SE                | cat_2 (vol=100, pitch=110)
   2| (code 0)               |
   1| Conditional Else       |
   2| Conditional Branch     | 1 | 22 | 0 | 3 | 0
   3| Play SE                | cat_3 (vol=100, pitch=100)
   3| (code 0)               |
   2| Conditional Else       |
   3| Conditional Branch     | 1 | 22 | 0 | 4 | 0
   4| Play SE                | cat_purr (vol=100, pitch=100)
   4| (code 0)               |
   3| Conditional Else       |
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 22] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 23] Fade out
  trigger=0 switch_id=1
   0| Show Picture           | 50 | black | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   0| Move Picture           | 50 | 40 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   0| Wait                   | 40
   0| (code 0)               |

[CommonEvent 24] Fade in
  trigger=0 switch_id=1
   0| Move Picture           | 50 | 40 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   0| Wait                   | 40
   0| Scroll Picture         | 50
   0| (code 0)               |

[CommonEvent 25] Is your elevator running?
  trigger=2 switch_id=58
   0| Comment                | well then you'd better wait until it reaches your floor
   0| Comment (cont.)        | so you may board
   0| Weather                | 1 | 8 | 5
   0| Wait                   | 5
   0| (code 0)               |

[CommonEvent 26] mm reset
  trigger=0 switch_id=1
   0| Control Variables      | 37 | 37 | 0 | 0 | 10
   0| Control Variables      | 32 | 32 | 0 | 2 | 1 | 4
   0| Control Variables      | 33 | 33 | 0 | 2 | 1 | 4
   0| Control Variables      | 34 | 34 | 0 | 2 | 1 | 4
   0| Control Variables      | 35 | 35 | 0 | 2 | 1 | 4
   0| Control Variables      | 36 | 36 | 0 | 2 | 1 | 4
   0| Control Variables      | 26 | 26 | 0 | 0 | 0
   0| Play SE                | gurgle (vol=100, pitch=70)
   0| Wait                   | 4
   0| Control Variables      | 27 | 27 | 0 | 0 | 0
   0| Play SE                | gurgle (vol=100, pitch=70)
   0| Wait                   | 4
   0| Control Variables      | 28 | 28 | 0 | 0 | 0
   0| Play SE                | gurgle (vol=100, pitch=70)
   0| Wait                   | 4
   0| Control Variables      | 29 | 29 | 0 | 0 | 0
   0| Play SE                | gurgle (vol=100, pitch=70)
   0| Wait                   | 4
   0| Control Variables      | 30 | 30 | 0 | 0 | 0
   0| Play SE                | gurgle (vol=100, pitch=70)
   0| Wait                   | 30
   0| Play SE                | pc_on (vol=100, pitch=150)
   0| Control Variables      | 26 | 30 | 0 | 0 | 1
   0| Wait                   | 30
   0| (code 0)               |

[CommonEvent 27] Lens slot 1
  trigger=0 switch_id=1
   0| Conditional Branch     | 1 | 1 | 0 | 40 | 0
   1| Play SE                | lock_into_place (vol=80, pitch=100)
   1| Control Variables      | 1 | 1 | 0 | 0 | 0
   1| Control Variables      | 38 | 38 | 0 | 0 | 1
   1| Change Items           | 40 | 1 | 0 | 1
   1| (code 0)               |
   0| Conditional Else       |
   1| Conditional Branch     | 1 | 1 | 0 | 41 | 0
   2| Play SE                | lock_into_place (vol=80, pitch=100)
   2| Control Variables      | 1 | 1 | 0 | 0 | 0
   2| Control Variables      | 38 | 38 | 0 | 0 | 2
   2| Change Items           | 41 | 1 | 0 | 1
   2| (code 0)               |
   1| Conditional Else       |
   2| Conditional Branch     | 1 | 1 | 0 | 42 | 0
   3| Play SE                | lock_into_place (vol=80, pitch=100)
   3| Control Variables      | 1 | 1 | 0 | 0 | 0
   3| Control Variables      | 38 | 38 | 0 | 0 | 3
   3| Change Items           | 42 | 1 | 0 | 1
   3| (code 0)               |
   2| Conditional Else       |
   3| Conditional Branch     | 1 | 1 | 0 | 43 | 0
   4| Play SE                | lock_into_place (vol=80, pitch=100)
   4| Control Variables      | 1 | 1 | 0 | 0 | 0
   4| Control Variables      | 38 | 38 | 0 | 0 | 4
   4| Change Items           | 43 | 1 | 0 | 1
   4| (code 0)               |
   3| Conditional Else       |
   4| Conditional Branch     | 1 | 38 | 0 | 0 | 3
   5| Play SE                | take_lens_out (vol=80, pitch=100)
   5| Control Variables      | 38 | 38 | 0 | 0 | 0
   5| (code 0)               |
   4| Conditional Else       |
   5| Show Text              | @niko It's an empty rectangular slot.\>\nLooks like something could fit in here...
   5| (code 0)               |
   4| Conditional End        |
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 28] Lens slot 2
  trigger=0 switch_id=1
   0| Conditional Branch     | 1 | 1 | 0 | 40 | 0
   1| Play SE                | lock_into_place (vol=80, pitch=100)
   1| Control Variables      | 1 | 1 | 0 | 0 | 0
   1| Control Variables      | 39 | 39 | 0 | 0 | 1
   1| Change Items           | 40 | 1 | 0 | 1
   1| (code 0)               |
   0| Conditional Else       |
   1| Conditional Branch     | 1 | 1 | 0 | 41 | 0
   2| Play SE                | lock_into_place (vol=80, pitch=100)
   2| Control Variables      | 1 | 1 | 0 | 0 | 0
   2| Control Variables      | 39 | 39 | 0 | 0 | 2
   2| Change Items           | 41 | 1 | 0 | 1
   2| (code 0)               |
   1| Conditional Else       |
   2| Conditional Branch     | 1 | 1 | 0 | 42 | 0
   3| Play SE                | lock_into_place (vol=80, pitch=100)
   3| Control Variables      | 1 | 1 | 0 | 0 | 0
   3| Control Variables      | 39 | 39 | 0 | 0 | 3
   3| Change Items           | 42 | 1 | 0 | 1
   3| (code 0)               |
   2| Conditional Else       |
   3| Conditional Branch     | 1 | 1 | 0 | 43 | 0
   4| Play SE                | lock_into_place (vol=80, pitch=100)
   4| Control Variables      | 1 | 1 | 0 | 0 | 0
   4| Control Variables      | 39 | 39 | 0 | 0 | 4
   4| Change Items           | 43 | 1 | 0 | 1
   4| (code 0)               |
   3| Conditional Else       |
   4| Conditional Branch     | 1 | 39 | 0 | 0 | 3
   5| Play SE                | take_lens_out (vol=80, pitch=100)
   5| Control Variables      | 39 | 39 | 0 | 0 | 0
   5| (code 0)               |
   4| Conditional Else       |
   5| Show Text              | @niko It's an empty rectangular slot.\>\nLooks like something could fit in here...
   5| (code 0)               |
   4| Conditional End        |
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 29] Lens slot 3
  trigger=0 switch_id=1
   0| Conditional Branch     | 1 | 1 | 0 | 40 | 0
   1| Play SE                | lock_into_place (vol=80, pitch=100)
   1| Control Variables      | 1 | 1 | 0 | 0 | 0
   1| Control Variables      | 40 | 40 | 0 | 0 | 1
   1| Change Items           | 40 | 1 | 0 | 1
   1| (code 0)               |
   0| Conditional Else       |
   1| Conditional Branch     | 1 | 1 | 0 | 41 | 0
   2| Play SE                | lock_into_place (vol=80, pitch=100)
   2| Control Variables      | 1 | 1 | 0 | 0 | 0
   2| Control Variables      | 40 | 40 | 0 | 0 | 2
   2| Change Items           | 41 | 1 | 0 | 1
   2| (code 0)               |
   1| Conditional Else       |
   2| Conditional Branch     | 1 | 1 | 0 | 42 | 0
   3| Play SE                | lock_into_place (vol=80, pitch=100)
   3| Control Variables      | 1 | 1 | 0 | 0 | 0
   3| Control Variables      | 40 | 40 | 0 | 0 | 3
   3| Change Items           | 42 | 1 | 0 | 1
   3| (code 0)               |
   2| Conditional Else       |
   3| Conditional Branch     | 1 | 1 | 0 | 43 | 0
   4| Play SE                | lock_into_place (vol=80, pitch=100)
   4| Control Variables      | 1 | 1 | 0 | 0 | 0
   4| Control Variables      | 40 | 40 | 0 | 0 | 4
   4| Change Items           | 43 | 1 | 0 | 1
   4| (code 0)               |
   3| Conditional Else       |
   4| Conditional Branch     | 1 | 40 | 0 | 0 | 3
   5| Play SE                | take_lens_out (vol=80, pitch=100)
   5| Control Variables      | 40 | 40 | 0 | 0 | 0
   5| (code 0)               |
   4| Conditional Else       |
   5| Show Text              | @niko It's an empty rectangular slot.\>\nLooks like something could fit in here...
   5| (code 0)               |
   4| Conditional End        |
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 30] Lens slot 4
  trigger=0 switch_id=1
   0| Conditional Branch     | 1 | 1 | 0 | 40 | 0
   1| Play SE                | lock_into_place (vol=80, pitch=100)
   1| Control Variables      | 1 | 1 | 0 | 0 | 0
   1| Control Variables      | 41 | 41 | 0 | 0 | 1
   1| Change Items           | 40 | 1 | 0 | 1
   1| (code 0)               |
   0| Conditional Else       |
   1| Conditional Branch     | 1 | 1 | 0 | 41 | 0
   2| Play SE                | lock_into_place (vol=80, pitch=100)
   2| Control Variables      | 1 | 1 | 0 | 0 | 0
   2| Control Variables      | 41 | 41 | 0 | 0 | 2
   2| Change Items           | 41 | 1 | 0 | 1
   2| (code 0)               |
   1| Conditional Else       |
   2| Conditional Branch     | 1 | 1 | 0 | 42 | 0
   3| Play SE                | lock_into_place (vol=80, pitch=100)
   3| Control Variables      | 1 | 1 | 0 | 0 | 0
   3| Control Variables      | 41 | 41 | 0 | 0 | 3
   3| Change Items           | 42 | 1 | 0 | 1
   3| (code 0)               |
   2| Conditional Else       |
   3| Conditional Branch     | 1 | 1 | 0 | 43 | 0
   4| Play SE                | lock_into_place (vol=80, pitch=100)
   4| Control Variables      | 1 | 1 | 0 | 0 | 0
   4| Control Variables      | 41 | 41 | 0 | 0 | 4
   4| Change Items           | 43 | 1 | 0 | 1
   4| (code 0)               |
   3| Conditional Else       |
   4| Conditional Branch     | 1 | 41 | 0 | 0 | 3
   5| Play SE                | take_lens_out (vol=80, pitch=100)
   5| Control Variables      | 41 | 41 | 0 | 0 | 0
   5| (code 0)               |
   4| Conditional Else       |
   5| Show Text              | @niko It's an empty rectangular slot.\>\nLooks like something could fit in here...
   5| (code 0)               |
   4| Conditional End        |
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 31] Lens puzzle check
  trigger=0 switch_id=1
   0| Conditional Branch     | 1 | 38 | 0 | 4 | 0
   1| Conditional Branch     | 1 | 39 | 0 | 1 | 0
   2| Conditional Branch     | 1 | 40 | 0 | 3 | 0
   3| Conditional Branch     | 1 | 41 | 0 | 2 | 0
   4| Control Variables      | 42 | 42 | 0 | 0 | 1
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 32] Apartment Bed
  trigger=0 switch_id=1
   0| Show Text              | @niko_eyeclosed \p... someone lives here...\>\nWe can't just sleep in their bed.
   0| (code 0)               |

[CommonEvent 33] Sink
  trigger=0 switch_id=1
   0| Conditional Branch     | 1 | 1 | 0 | 59 | 0
   1| Show Text              | @niko Right, I can refill this tube with more water here.
   1| Control Variables      | 1 | 1 | 0 | 0 | 0
   1| Change Items           | 59 | 1 | 0 | 1
   1| Change Items           | 27 | 0 | 0 | 1
   1| Play BGS               | get_item (vol=100, pitch=100)
   1| (code 0)               |
   0| Conditional Else       |
   1| Show Text              | @niko It's a sink.
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 34] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 35] QUIT GAME
  trigger=0 switch_id=1
   0| Conditional Branch     | 0 | 99 | 0
   1| Call Script            | quit_game_no_save
   1| (code 0)               |
   0| Conditional Else       |
   1| Conditional Branch     | 0 | 190 | 0
   2| Show Picture           | 10 | black | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   2| Move Picture           | 10 | 10 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   2| Wait                   | 30
   2| Call Script            | quit_game_bed
   2| (code 0)               |
   1| Conditional Else       |
   2| Conditional Branch     | 0 | 196 | 0
   3| Conditional Branch     | 12 | EdText.yesno("Quit and record your progress?")
   4| Call Script            | quit_game_bed
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional Else       |
   3| Control Switches       | 196 | 196 | 0
   3| Call Script            | EdText.info("This action will record
   3| (code 655)             | your progress in this world.")
   3| Call Script            | EdText.info("To return to this world
   3| (code 655)             | again, you need to relaunch the
   3| (code 655)             | application.")
   3| Conditional Branch     | 12 | EdText.yesno("    Proceed?    ")
   4| Call Script            | quit_game_bed
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 36] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 37] use gloves
  trigger=0 switch_id=1
   0| Show Text              | @niko I'll wear them when I have to.
   0| (code 0)               |

[CommonEvent 38] use gasmask
  trigger=0 switch_id=1
   0| Conditional Branch     | 0 | 86 | 0
   1| Show Text              | @niko I can't take this off here, \p!
   1| (code 0)               |
   0| Conditional Else       |
   1| Show Text              | @niko I'll wear it when I have to.
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 39] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 40] debug Add Alula
  trigger=1 switch_id=15
   0| Change Party           | 2 | 0 | 1
   0| Control Switches       | 15 | 15 | 1
   0| (code 0)               |

[CommonEvent 41] DEBUG SAVE
  trigger=0 switch_id=1
   0| Show Choices           | SAVE?, LOAD, REAL LOAD, NO | 4
   0| Choices Branch         | 0 | SAVE?
   1| (code 352)             |
   1| (code 0)               |
   0| Choices Branch         | 1 | LOAD
   1| Call Script            | $scene = Scene_Load.new
   1| (code 0)               |
   0| Choices Branch         | 2 | REAL LOAD
   1| Call Script            | real_load
   1| (code 0)               |
   0| Choices Branch         | 3 | NO
   1| (code 0)               |
   0| Choices End            |
   0| (code 0)               |

[CommonEvent 42] Load Save
  trigger=0 switch_id=1
   0| Call Script            | Window_Settings.load_settings
   0| Conditional Branch     | 0 | 198 | 0
   1| Control Switches       | 198 | 198 | 1
   1| Exit Event Processing  |
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 0 | 190 | 0
   1| Control Variables      | 1 | 1 | 0 | 0 | 0
   1| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28aecc40 @list=[#<RPG::MoveCommand:0x0000022e28aecbf0 @parameters=["niko", 0, 2, 0], @code=41>, #<RPG::MoveCommand:0x0000022e28aecb00 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28aecbf0 @parameters=["niko", 0, 2, 0], @code=41>
   1| Play BGM               | Distant (vol=100, pitch=55)
   1| Scroll Picture         | 10
   1| Control Switches       | 181 | 181 | 1
   1| Call Script            | Graphics.smooth = true
   1| Conditional Branch     | 0 | 306 | 0
   2| Show Picture           | 1 | cg_tower5 | 0 | 0 | 0 | 0 | 200 | 200 | 255 | 0
   2| (code 0)               |
   1| Conditional Else       |
   2| Show Picture           | 1 | cg_tower4 | 0 | 0 | 0 | 0 | 200 | 200 | 255 | 0
   2| (code 0)               |
   1| Conditional End        |
   1| Show Picture           | 2 | cg_tower3 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 3 | cg_tower2 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 4 | cg_tower1 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 5 | black | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Conditional Branch     | 0 | 306 | 0
   2| Control Switches       | 98 | 98 | 0
   2| Call Script            | Script.lose_all_items
   2| Transfer Player        | 0 | 241 | 7 | 73 | 2 | 1
   2| (code 0)               |
   1| Conditional Else       |
   2| Call Script            | Script.lose_all_items
   2| Transfer Player        | 0 | 63 | 51 | 36 | 0 | 1
   2| (code 0)               |
   1| Conditional End        |
   1| Move Picture           | 5 | 10 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 20
   1| Batch Text             | 23
   1| Move Picture           | 4 | 20 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 30
   1| Scroll Picture         | 4
   1| Batch Text             | 23
   1| Move Picture           | 3 | 20 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 30
   1| Scroll Picture         | 3
   1| Batch Text             | 23
   1| Move Picture           | 2 | 20 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Call Script            | Graphics.smooth = false
   1| Wait                   | 30
   1| Scroll Picture         | 2
   1| Batch Text             | 23
   1| Conditional Branch     | 0 | 306 | 0
   2| Fade BGM               | 2
   2| (code 0)               |
   1| Conditional End        |
   1| Move Picture           | 5 | 50 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Wait                   | 60
   1| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28ae73f8 @list=[#<RPG::MoveCommand:0x0000022e28ae73a8 @parameters=[], @code=16>, #<RPG::MoveCommand:0x0000022e28ae7358 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28ae73a8 @parameters=[], @code=16>
   1| Scroll Picture         | 1
   1| Move Picture           | 5 | 50 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 60
   1| Conditional Branch     | 0 | 306 | 0
   2| Play BGM               | computer_room (vol=100, pitch=100)
   2| Control Switches       | 190 | 190 | 1
   2| Change Fog Tone        | -1 | 2
   2| Wait                   | 50
   2| Show Text              | @niko Where are we...?
   2| Exit Event Processing  |
   2| (code 0)               |
   1| Conditional End        |
   1| Change Fog Tone        | -1 | 2
   1| Wait                   | 50
   1| Show Text              | @niko Is this... the inside of the Tower?
   1| Show Text              | @niko It's...\.\.\@niko_eyeclosed a lot darker than I thought...
   1| Show Text              | @niko ... wait.\>\n\@niko_shock Where's the sun?
   1| Wait                   | 50
   1| Show Text              | @niko_eyeclosed ...\p... Do you know what happened to the sun?
   1| Wait                   | 50
   1| Show Text              | @niko_eyeclosed2 ...\....\....
   1| Show Text              | @niko_speak ......\p?
   1| Wait                   | 50
   1| Show Text              | @niko_shock \p??
   1| Wait                   | 50
   1| Show Text              | @niko_eyeclosed Come on, \p...\.\@niko_distressed Say something!
   1| Wait                   | 50
   1| Show Text              | @niko_surprised \p!!!
   1| Wait                   | 50
   1| Show Text              | @niko_distressed What's...\.\. going on.......
   1| Control Switches       | 190 | 190 | 1
   1| Control Switches       | 20 | 20 | 1
   1| Control Switches       | 101 | 101 | 0
   1| Exit Event Processing  |
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 0 | 181 | 0
   1| Control Variables      | 1 | 1 | 0 | 0 | 0
   1| Conditional Branch     | 0 | 211 | 0
   2| Scroll Picture         | 10
   2| Scroll Picture         | 1
   2| Scroll Picture         | 2
   2| Scroll Picture         | 3
   2| Scroll Picture         | 4
   2| Show Picture           | 5 | black | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   2| Move Picture           | 5 | 50 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   2| Play BGM               | Phosphor (vol=70, pitch=50)
   2| Call Script            | Graphics.smooth = false
